 * Serving Flask app "run" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 204-796-878
116.230.176.98 - - [28/Jun/2019 23:30:51] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 23:30:51] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 23:31:13] "GET /sa_api/这本书真不错 HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 23:31:25] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 23:31:25] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:40] "GET /?nsukey=6kH575IQwvkQcKc5%2FugXEbHKjUzQX2UA3RyPZprHbgOIeHAlbfiSV5RHM2rbAb%2F4jGi1UrrGRmMn%2FwbXaloazsps1r5UyDC0d6DrJL4ucTwdWb%2Bq1%2B9KL9bTSNrcoEj5HeVpejDAwIvMD9pi6Upxwg8bNRyxE9mn15mI5SyFaAIy9w03ebcn%2FjPMFRQT448npRNnoO2Y4iBJYQ7TQW4%2B%2FQ%3D%3D HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:40] "GET /static/assets/css/bootstrap.min.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:40] "GET /static/assets/css/font-awesome.min.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:40] "GET /static/assets/css/magnific-popup.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:40] "GET /static/assets/css/jquery.lineProgressbar.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:40] "GET /static/assets/css/owl.carousel.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:40] "GET /static/assets/css/slicknav.min.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:41] "GET /static/assets/css/animate.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:41] "GET /static/assets/css/responsive.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:41] "GET /static/assets/css/style.css HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:21:41] "GET /static/assets/js/jquery.js HTTP/1.1" 200 -
